epoch,train_loss,val_loss,train_mae,val_mae,lr
1,162.113665,160.780312,82.0568,81.3902,0.0005
2,161.407801,160.040237,81.7039,81.0201,0.0005
3,159.157192,156.468828,80.5786,79.2344,0.0005
4,152.956412,147.308585,77.4782,74.6543,0.0005
5,141.262526,131.75986,71.6313,66.8799,0.0005
6,125.084435,115.115352,63.5422,58.5577,0.0005
7,109.774268,100.445666,55.8871,51.2228,0.0005
8,94.766706,85.507922,48.3834,43.754,0.0005
9,79.37096,69.819641,40.6855,35.9098,0.0005
10,63.246164,53.236691,32.6231,27.6183,0.0005
11,46.04364,35.701756,24.0218,18.8509,0.0005
12,28.264607,17.731786,15.1202,9.7852,0.0005
13,13.466162,11.244212,7.6886,6.5768,0.0005
14,8.940615,8.019224,5.3929,4.9483,0.0005
15,6.600357,8.596283,4.2058,5.1719,0.0005
16,6.297202,7.676742,4.0465,4.7582,0.0005
17,5.864361,4.388218,3.8262,3.0247,0.0005
18,5.597479,4.67601,3.6817,3.304,0.0005
19,5.175748,3.849976,3.4749,2.8598,0.0005
20,5.307665,2.806942,3.531,2.235,0.0005
21,5.013035,2.169436,3.3732,1.8721,0.0005
22,4.965299,3.369983,3.3624,2.5514,0.0005
23,4.766892,2.211482,3.2494,1.906,0.0005
24,4.807476,2.244705,3.2817,1.9204,0.0005
25,4.496164,2.065832,3.107,1.79,0.0005
26,4.438598,2.128062,3.0738,1.9045,0.0005
27,4.900206,1.785741,3.3129,1.6828,0.0005
28,4.628656,1.445104,3.1645,1.4255,0.0005
29,4.565159,1.584001,3.1527,1.5183,0.0005
30,4.400676,2.078052,3.0532,1.8684,0.0005
31,4.642233,2.238626,3.1812,1.962,0.0005
32,4.654479,1.640475,3.1808,1.4887,0.0005
33,4.603718,1.262417,3.1705,1.2209,0.0005
34,4.637299,0.998169,3.1799,1.1015,0.0005
35,4.366418,1.761702,3.0373,1.5757,0.0005
36,4.637168,1.801854,3.1787,1.6256,0.0005
37,4.569505,1.470371,3.1536,1.3764,0.0005
38,4.498547,1.633192,3.0973,1.5261,0.0005
39,4.85724,2.381849,3.3001,2.035,0.0005
40,4.437292,1.588807,3.0763,1.481,0.0005
41,4.681794,1.455094,3.2075,1.3955,0.0005
42,4.466515,1.588298,3.1017,1.5164,0.0005
43,4.287354,0.788445,2.9944,0.9291,0.0005
44,4.515799,0.857162,3.1237,0.9916,0.0005
45,4.805293,1.658955,3.2758,1.491,0.0005
46,4.749678,1.339669,3.2376,1.2856,0.0005
47,4.48105,1.216047,3.1025,1.1556,0.0005
48,4.294977,1.019812,2.9969,1.0524,0.0005
49,4.479844,1.066601,3.1022,1.0642,0.0005
50,4.628863,1.208731,3.1892,1.2004,0.0005
51,4.251519,0.893136,2.977,1.005,0.0005
52,4.480403,1.045663,3.0935,1.1772,0.0005
53,4.51718,1.262408,3.1289,1.2513,0.0005
54,4.415146,0.965214,3.063,1.2275,0.0005
55,4.590003,0.943273,3.1535,1.0045,0.00025
56,4.406542,0.991388,3.0765,1.0878,0.00025
57,4.384143,1.610306,3.0415,1.5949,0.00025
58,4.352896,1.160753,3.0298,1.1919,0.00025
59,4.781962,1.005779,3.2622,1.0444,0.00025
60,4.400076,1.754772,3.0709,1.673,0.00025
61,4.605818,1.105522,3.1561,1.1921,0.00025
62,4.310262,1.360928,3.0205,1.345,0.00025
63,4.345658,1.577422,3.0253,1.5406,0.00025
64,4.308503,2.189299,3.0166,1.9698,0.00025
65,4.420885,1.461121,3.0731,1.4067,0.00025
66,4.554529,1.330358,3.1403,1.2962,0.000125
67,4.579221,1.63393,3.1598,1.5653,0.000125
68,4.384326,1.217476,3.0464,1.1817,0.000125
69,4.57701,1.331463,3.1526,1.2961,0.000125
70,4.627831,1.126571,3.1834,1.145,0.000125
71,4.43529,1.672204,3.0821,1.6076,0.000125
72,4.480318,1.198566,3.0934,1.2095,0.000125
73,4.266591,1.403203,2.9929,1.3876,0.000125
