epoch,train_loss,val_loss,train_mae,val_mae,lr
1,164.471123,151.109396,83.2356,76.5547,0.0005
2,163.720666,149.990627,82.8603,75.9953,0.0005
3,160.223318,144.379125,81.1117,73.1896,0.0005
4,150.660185,133.219006,76.3301,67.6095,0.0005
5,137.62212,119.386251,69.8111,60.6931,0.0005
6,122.102582,101.977649,62.0513,51.9888,0.0005
7,105.916783,85.736551,53.9584,43.8683,0.0005
8,90.771099,69.938769,46.3855,35.9694,0.0005
9,74.722545,53.844809,38.3613,27.9224,0.0005
10,58.086981,37.005872,30.0435,19.5029,0.0005
11,40.96255,19.322377,21.4812,10.6612,0.0005
12,23.876904,7.654016,12.9224,4.7891,0.0005
13,11.213747,12.02654,6.5446,6.9466,0.0005
14,9.271981,9.676504,5.5709,5.7773,0.0005
15,9.202935,7.085281,5.5228,4.4034,0.0005
16,8.470994,4.453422,5.1483,3.1348,0.0005
17,8.271829,6.444799,5.0477,4.1271,0.0005
18,8.02632,5.058685,4.9239,3.4623,0.0005
19,7.56092,3.637161,4.6967,2.6635,0.0005
20,7.645391,2.687453,4.7308,2.0504,0.0005
21,7.219617,2.302328,4.5172,1.8188,0.0005
22,7.616273,4.397817,4.7153,3.1204,0.0005
23,6.962414,3.120023,4.3609,2.3029,0.0005
24,7.000378,3.363639,4.3886,2.5117,0.0005
25,7.112921,3.1413,4.4608,2.3551,0.0005
26,6.951879,2.845694,4.385,2.1866,0.0005
27,6.963057,3.723004,4.3739,2.7135,0.0005
28,6.76562,3.535237,4.2868,2.5955,0.0005
29,7.028234,3.339558,4.4088,2.442,0.0005
30,7.373207,2.841791,4.6056,2.2115,0.0005
31,7.254123,3.041328,4.5486,2.3125,0.0005
32,6.511348,3.157025,4.1595,2.3935,0.0005
33,6.960692,3.376165,4.3886,2.5108,0.00025
34,6.883212,3.703725,4.3443,2.7014,0.00025
35,6.869261,3.213268,4.3356,2.4215,0.00025
36,6.640375,3.153383,4.2113,2.3821,0.00025
37,6.99513,3.406568,4.3936,2.5033,0.00025
38,6.888482,3.412724,4.345,2.5608,0.00025
39,6.593775,3.668263,4.2036,2.6699,0.00025
40,6.908236,4.689875,4.3595,3.22,0.00025
41,6.860246,4.059842,4.3382,2.8333,0.00025
42,6.792696,3.688986,4.2976,2.6601,0.00025
43,6.621448,3.877078,4.1826,2.8247,0.00025
44,7.210225,3.06404,4.5172,2.3313,0.000125
45,7.072064,2.992852,4.4317,2.2716,0.000125
46,7.072631,3.005564,4.4425,2.2768,0.000125
47,7.034697,3.027159,4.418,2.3067,0.000125
48,6.87582,3.211463,4.3378,2.403,0.000125
49,6.658224,3.277591,4.2311,2.4102,0.000125
50,6.694916,3.371241,4.2277,2.4552,0.000125
51,6.756858,3.222868,4.2901,2.3938,0.000125
