epoch,train_loss,val_loss,train_mae,val_mae,lr
1,164.648452,151.230257,83.3242,76.6151,0.0005
2,163.423095,149.974246,82.7115,75.9871,0.0005
3,159.228525,145.710327,80.6143,73.8552,0.0005
4,151.410121,136.626904,76.7051,69.3135,0.0005
5,139.983643,123.891739,70.9918,62.9459,0.0005
6,123.902837,104.827492,62.9514,53.4137,0.0005
7,104.578282,83.15794,53.2891,42.579,0.0005
8,84.263921,62.108903,43.132,32.0545,0.0005
9,64.438686,41.646855,33.2193,21.8234,0.0005
10,43.839889,20.433505,22.9199,11.2168,0.0005
11,22.820604,7.597643,12.3892,4.785,0.0005
12,9.47703,7.675602,5.6686,4.7551,0.0005
13,7.009909,7.890459,4.4026,4.8828,0.0005
14,6.314326,8.401731,4.0502,5.1237,0.0005
15,5.843813,6.101821,3.8087,3.8732,0.0005
16,4.917011,3.367164,3.3019,2.5203,0.0005
17,5.159861,2.413949,3.4617,1.9384,0.0005
18,5.133679,1.986976,3.4404,1.6933,0.0005
19,5.083944,2.075115,3.4062,1.8021,0.0005
20,4.91966,3.532905,3.3309,2.5835,0.0005
21,5.042926,1.201449,3.3954,1.1823,0.0005
22,4.700744,1.574714,3.2118,1.5106,0.0005
23,4.379092,2.765925,3.0433,2.2121,0.0005
24,4.574627,2.014251,3.1484,1.7416,0.0005
25,4.732634,1.096775,3.2327,1.1012,0.0005
26,4.6847,0.976732,3.2054,1.006,0.0005
27,4.366973,1.554974,3.0393,1.4778,0.0005
28,4.853244,1.079055,3.2991,1.08,0.0005
29,4.631496,1.072389,3.188,1.0737,0.0005
30,4.62595,1.209886,3.1846,1.2464,0.0005
31,4.447001,0.967291,3.0751,1.001,0.0005
32,4.873993,1.303819,3.3153,1.3602,0.0005
33,4.577176,1.355782,3.1503,1.2866,0.0005
34,4.662269,1.063419,3.2066,1.1068,0.0005
35,4.531031,1.101299,3.121,1.1484,0.0005
36,4.370673,1.061096,3.0489,1.1025,0.0005
37,4.410968,1.544114,3.0619,1.54,0.0005
38,4.728687,0.895049,3.2274,0.8918,0.0005
39,4.623986,0.952335,3.1578,1.0015,0.0005
40,4.698303,1.073274,3.2081,1.1273,0.0005
41,4.638383,0.960036,3.1824,1.0609,0.0005
42,4.798214,1.446228,3.2823,1.3914,0.0005
43,4.590408,1.309886,3.1587,1.3882,0.0005
44,4.682798,1.938998,3.2201,1.7183,0.0005
45,4.578791,1.279101,3.1561,1.3536,0.0005
46,4.433235,0.973773,3.0842,1.0631,0.0005
47,4.42658,1.689206,3.0655,1.5715,0.0005
48,4.585779,1.964532,3.1608,1.8195,0.0005
49,4.683742,1.535252,3.1954,1.4658,0.0005
50,4.503584,0.907542,3.1154,1.0069,0.00025
51,4.649541,0.987641,3.179,1.0308,0.00025
52,4.41366,0.762164,3.09,0.8117,0.00025
53,4.550871,0.804018,3.1421,0.8573,0.00025
54,4.783314,1.133824,3.2777,1.2264,0.00025
55,4.386986,0.727444,3.048,0.8069,0.00025
56,4.492113,0.735445,3.1053,0.8168,0.00025
57,4.553194,0.788816,3.1294,0.8694,0.00025
58,4.455823,0.73718,3.0877,0.7959,0.00025
59,4.304233,0.897154,3.0081,0.9453,0.00025
60,4.380406,1.033908,3.0541,1.0747,0.00025
61,4.036932,0.973879,2.8714,1.0213,0.00025
62,4.369908,1.015847,3.0431,1.0332,0.00025
63,4.410211,0.827877,3.0744,0.9151,0.00025
64,4.555964,0.949019,3.1434,0.9967,0.00025
65,4.570897,0.866523,3.151,0.9504,0.00025
66,4.463985,0.792426,3.0969,0.8644,0.00025
67,4.558247,0.768577,3.1494,0.8628,0.000125
68,4.520448,0.848225,3.1186,0.9801,0.000125
69,4.133879,0.782466,2.9128,0.8078,0.000125
70,4.520993,0.739355,3.1293,0.8104,0.000125
71,4.472163,0.753487,3.0841,0.8031,0.000125
72,4.341913,0.742877,3.04,0.8315,0.000125
73,4.77963,0.808741,3.2775,0.8531,0.000125
74,4.558635,0.772976,3.1292,0.8571,0.000125
75,4.393001,0.738938,3.062,0.7815,0.000125
76,4.183037,0.79822,2.9431,0.9153,0.000125
77,4.325409,0.818174,3.0289,0.876,0.000125
78,4.407453,0.802006,3.0527,0.851,6.25e-05
79,4.405968,0.750754,3.0591,0.7916,6.25e-05
80,4.305987,0.761192,3.0063,0.8165,6.25e-05
81,4.315161,0.873707,2.9983,0.9353,6.25e-05
82,4.528502,0.943821,3.1231,1.0146,6.25e-05
83,4.495807,0.874021,3.1091,0.9549,6.25e-05
84,4.45265,0.834131,3.0869,0.9035,6.25e-05
85,4.293544,0.788226,3.0092,0.8214,6.25e-05
